"Cycle","MASLD_Prev","MASLD_SE","MASH_Prev","MASH_SE","Fibrosis_Prev","Fibrosis_SE"
"1999-2000",27.877970413849,1.54930229256554,0.789145272967156,0.177888670078505,2.23735015027486,0.297732496979294
"2001-2002",30.2531453568534,1.48791900826474,0.43511846834117,0.147353851503136,2.33954510250605,0.393502641480788
"2003-2004",26.958414699333,1.21372644040115,0.707925304570405,0.141008205078915,2.90583287140489,0.444920600059842
"2005-2006",28.5588853826149,1.66404573371122,0.725308476519226,0.216907664162632,1.87296321588784,0.451740821087886
"2007-2008",30.7642392693043,1.71986523533727,1.01591786699501,0.24947974446756,2.1934422451796,0.352409721803291
"2009-2010",34.8320313721331,1.69158000248436,1.46049094731873,0.276914629896152,2.80469743532357,0.405253481899264
"2011-2012",33.7818555121598,1.7098218348472,1.42793519562013,0.289305999487383,3.52842828242515,0.382950682382229
"2013-2014",30.5686266746437,1.60047158900513,1.06160131502292,0.295501909814698,2.98225874144286,0.314525481119568
"2015-2016",33.3071552268377,1.83677308031299,1.05908321006076,0.251932625183278,3.51724458378799,0.43118919742609
"2017-2020 (Pre-Pandemic)",36.066558051576,1.4683925703518,1.05440499653862,0.156628518346446,2.79805150227975,0.299832703280522
"2021-2023",35.1582990847243,1.40440731571321,1.31798846948412,0.193725639657794,1.86953615815259,0.237221990917795
