Cycle,Raw_Fasting_Total_N,Raw_USFLI_GT_30_N,Raw_Prevalence_Pct,Weighted_Prevalence_Pct,Weighted_Prevalence_SE_Pct,Weighted_Population_Size_N,Weighted_Population_Size_SE_N,Total_Population_Represented_N
1999-2000,1791,616,34.394193188163,27.877970413849,1.54930229256554,51960583.6175005,4889763.61986016,186385819.506028
2001-2002,2083,701,33.6533845415266,30.2531453568534,1.48791900826474,57687955.393926,4254883.80257418,190684157.675055
2003-2004,1876,539,28.7313432835821,26.958414699333,1.21372644040115,52620851.97,4981039.59031096,195192679.38
2005-2006,1881,556,29.558745348219,28.5588853826149,1.66404573371122,57287665.166,5077595.83547714,200594891.567
2007-2008,2241,786,35.0736278447122,30.7642392693043,1.71986523533727,63044527.638,6564707.96580809,204927959.005
2009-2010,2498,960,38.4307445956765,34.8320313721331,1.69158000248436,73016618.854,5454973.88660308,209624922.744
2011-2012,2139,725,33.8943431510051,33.7818555121598,1.7098218348472,70991388.109,6412341.99341238,210146503.301
2013-2014,2243,688,30.6732055283103,30.5686266746437,1.60047158900513,66190995.349235,4140796.33761287,216532446.988008
2015-2016,2134,745,34.9109653233365,33.3071552268377,1.83677308031299,74182473.7643727,6828409.89546449,222722334.76307
2017-2018,2148,821,38.2216014897579,35.6308956947258,1.62806259277024,80795839.5767731,5546461.11682141,226757812.290228
2017-2020 (Pre-Pandemic),3575,1366,38.2097902097902,36.066558051576,1.4683925703518,82704778.9264245,3772160.19193747,229311537.874379
2021-2023,2685,991,36.9087523277467,35.1582990847243,1.40440731571321,78587877.2994705,4749837.13471548,223525822.765457
Total,27294,9494,412.660696831826,383.758076738755,18.9743676957649,809071555.664702,62672971.3705977,2516406887.85923
